"item","condition","exp","UB","LB","low","high","y","x","group"
"coffee maker","original",5,156,152,0.000777907429015947,0.0294364248235747,0.011566313604572,154,"coffee maker original 5"
"coffee maker","original",5,160,156,0.000583430571761961,0.0649519926338989,0.0225277502096565,158,"coffee maker original 5"
"coffee maker","original",6,4,0,0.000648784028896798,0.00910224142382986,0.00381759882420042,2,"coffee maker original 6"
"coffee maker","original",6,8,4,0.000672420857972933,0.00804634817986325,0.00327341514153642,6,"coffee maker original 6"
"coffee maker","original",6,12,8,0.000838872588238158,0.0106838762243672,0.00446299383948897,10,"coffee maker original 6"
"coffee maker","original",6,16,12,0.00110645023589604,0.0135611133460956,0.00591557029757259,14,"coffee maker original 6"
"coffee maker","original",6,20,16,0.00171450744547583,0.00948233548223538,0.00522553901593892,18,"coffee maker original 6"
"coffee maker","original",6,24,20,0.00186378591857529,0.0104964030117076,0.00592006247796432,22,"coffee maker original 6"
"coffee maker","original",6,28,24,0.00263718266412454,0.0146082658987485,0.0078998272600027,26,"coffee maker original 6"
"coffee maker","original",6,32,28,0.0028736855610836,0.0145072639145882,0.00820139263235097,30,"coffee maker original 6"
"coffee maker","original",6,36,32,0.00371709685594753,0.015482466803764,0.00923329094363092,34,"coffee maker original 6"
"coffee maker","original",6,40,36,0.00450692066791279,0.0148097946624209,0.00934548048771011,38,"coffee maker original 6"
"coffee maker","original",6,44,40,0.00610544149560087,0.0171271689435289,0.0110308649457376,42,"coffee maker original 6"
"coffee maker","original",6,48,44,0.00766450769234478,0.0195617368200352,0.0134516113059936,46,"coffee maker original 6"
"coffee maker","original",6,52,48,0.00985519516844005,0.0202310019558975,0.0149918799997096,50,"coffee maker original 6"
"coffee maker","original",6,56,52,0.0125061571318543,0.0230838307192419,0.0173674447583177,54,"coffee maker original 6"
"coffee maker","original",6,60,56,0.0137823124959027,0.0257782138568528,0.0196664640698109,58,"coffee maker original 6"
"coffee maker","original",6,64,60,0.0144787578029888,0.0296127751033238,0.0218370547484883,62,"coffee maker original 6"
"coffee maker","original",6,68,64,0.015299355120685,0.0329228792884922,0.0231980452065411,66,"coffee maker original 6"
"coffee maker","original",6,72,68,0.0152408174498009,0.0341428074240376,0.0239293566032835,70,"coffee maker original 6"
"coffee maker","original",6,76,72,0.0154163236993207,0.0375250994987256,0.0253484579580892,74,"coffee maker original 6"
"coffee maker","original",6,80,76,0.0156629993421802,0.0391205552083606,0.0259527101461976,78,"coffee maker original 6"
"coffee maker","original",6,84,80,0.0189424898667083,0.0406183816323652,0.0282493115420472,82,"coffee maker original 6"
"coffee maker","original",6,88,84,0.0188523949982762,0.0398572040013568,0.0281476247872133,86,"coffee maker original 6"
"coffee maker","original",6,92,88,0.0200081668089232,0.0383514794124005,0.0279073920252734,90,"coffee maker original 6"
"coffee maker","original",6,96,92,0.0194767406883965,0.0354539690243642,0.0266747845792048,94,"coffee maker original 6"
"coffee maker","original",6,100,96,0.0206482829979427,0.033898877231866,0.0266177243706031,98,"coffee maker original 6"
