prior_version,object,price,theta,probability,utterance_cost,alpha
exp1,sweater,36,33,0.00007740103490791154,6,5
exp1,sweater,36,30,0.00006164339654977055,6,5
exp1,sweater,36,27,0.00004962880393150957,6,5
exp1,sweater,36,24,0.000040784360970740096,6,5
exp1,sweater,36,21,0.00003398606257797618,6,5
exp1,sweater,36,18,0.000028685650724665992,6,5
exp1,sweater,36,15,0.000024562649297992206,6,5
exp1,sweater,36,12,0.000021361762735013408,6,5
exp1,sweater,36,9,0.000018905330554073106,6,5
exp1,sweater,36,6,0.000017284995647429136,6,5
exp1,sweater,36,3,0.000016320728945890536,6,5
exp1,sweater,36,0,0.000015650765367320906,6,5
exp1,sweater,33,30,0.000060834775243061844,6,5
exp1,sweater,33,27,0.000048977786782363905,6,5
exp1,sweater,33,24,0.00004024936281834567,6,5
exp1,sweater,33,21,0.00003354024265451531,6,5
exp1,sweater,33,18,0.000028309360161993253,6,5
exp1,sweater,33,15,0.000024240443146429262,6,5
exp1,sweater,33,12,0.000021081544942626817,6,5
exp1,sweater,33,9,0.000018657335570797747,6,5
exp1,sweater,33,6,0.000017058255776669493,6,5
exp1,sweater,33,3,0.000016106638063406298,6,5
exp1,sweater,33,0,0.000015445462884806177,6,5
exp1,sweater,39,36,0.00009705192818289947,6,5
exp1,sweater,39,33,0.00007625610843921091,6,5
exp1,sweater,39,30,0.000060731559176867494,6,5
exp1,sweater,39,27,0.00004889468802080206,6,5
exp1,sweater,39,24,0.00004018107324416121,6,5
exp1,sweater,39,21,0.00003348333619119419,6,5
exp1,sweater,39,18,0.00002826132873949297,6,5
exp1,sweater,39,15,0.00002419931530179774,6,5
exp1,sweater,39,12,0.00002104577668130616,6,5
exp1,sweater,39,9,0.000018625680373986424,6,5
exp1,sweater,39,6,0.000017029313678167936,6,5
exp1,sweater,39,3,0.000016079310538748172,6,5
exp1,sweater,39,0,0.00001541925715110933,6,5
exp1,sweater,30,27,0.00004867715393322878,6,5
exp1,sweater,30,24,0.00004000230631753404,6,5
exp1,sweater,30,21,0.00003333436771870588,6,5
exp1,sweater,30,18,0.000028135593151235794,6,5
exp1,sweater,30,15,0.00002409165174595649,6,5
exp1,sweater,30,12,0.000020952143323308396,6,5
exp1,sweater,30,9,0.000018542814104671893,6,5
exp1,sweater,30,6,0.000016953549697193056,6,5
exp1,sweater,30,3,0.000016007773153227653,6,5
exp1,sweater,30,0,0.000015350656364987156,6,5
exp1,sweater,42,39,0.00011905970659502397,6,5
exp1,sweater,42,36,0.00009284330945121256,6,5
exp1,sweater,42,33,0.00007294929225954732,6,5
exp1,sweater,42,30,0.000058097958976007676,6,5
exp1,sweater,42,27,0.00004677438908664263,6,5
exp1,sweater,42,24,0.000038438636791008386,6,5
exp1,sweater,42,21,0.00003203134447364623,6,5
exp1,sweater,42,18,0.00002703578732323959,6,5
exp1,sweater,42,15,0.000023149921502210226,6,5
exp1,sweater,42,12,0.000020133134844897477,6,5
exp1,sweater,42,9,0.00001781798506303242,6,5
exp1,sweater,42,6,0.000016290844181728334,6,5
exp1,sweater,42,3,0.000015382037555171303,6,5
exp1,sweater,42,0,0.000014750607123336979,6,5
exp1,sweater,27,24,0.000037691459786755275,6,5
exp1,sweater,27,21,0.00003140871354799345,6,5
exp1,sweater,27,18,0.000026510260918918045,6,5
exp1,sweater,27,15,0.000022699929243360062,6,5
exp1,sweater,27,12,0.000019741783417389208,6,5
exp1,sweater,27,9,0.000017471635925480897,6,5
