"","item","price"
"255","headphones",300
"256","headphones",40
"257","headphones",99.99
"258","headphones",19
"259","headphones",25
"260","headphones",44.99
"261","headphones",125
"262","headphones",9.99
"263","headphones",21.99
"264","headphones",9.99
"265","headphones",35
"266","headphones",12.49
"267","headphones",15.99
"268","headphones",19.99
"269","headphones",10
"270","headphones",14.99
"271","headphones",25
"272","headphones",24.99
"273","headphones",25
"274","headphones",24.99
"275","headphones",20
"276","headphones",14.99
"277","headphones",11.99
"278","headphones",25.99
"279","headphones",20
"280","headphones",14.59
"281","headphones",8.99
"282","headphones",29.99
"283","headphones",59.99
"284","headphones",30
"285","headphones",59.99
"286","headphones",29.99
"287","headphones",25
"288","headphones",25
"289","headphones",19.99
"290","headphones",19.99
"291","headphones",29.99
"292","headphones",15.25
"293","headphones",6
"294","headphones",28.5
"295","headphones",27.99
"296","headphones",49.99
"297","headphones",50
"298","headphones",24.95
"299","headphones",35
"300","headphones",19.99
"301","headphones",24.99
"302","headphones",60
"303","headphones",30.48
"304","headphones",20
"305","headphones",29.99
"306","headphones",25.99
"307","headphones",50
"308","headphones",10.13
"309","headphones",19.99
"310","headphones",20.99
"311","headphones",25
"312","headphones",20.5
"313","headphones",15
"314","headphones",19.99
"315","headphones",25
"316","headphones",25
"317","headphones",8.99
"318","headphones",89.99
"319","headphones",9.99
"320","headphones",3.99
"321","headphones",70.79
"322","headphones",25
"323","headphones",30
"324","headphones",30.2
"325","headphones",49.99
"326","headphones",30
"327","headphones",19.99
"328","headphones",35
"329","headphones",10
"330","headphones",19.99
"331","headphones",20
"332","headphones",20
"333","headphones",49.99
"334","headphones",35
"335","headphones",39.99
"336","headphones",20
"337","headphones",9.95
"338","headphones",30
"339","headphones",69.99
"340","headphones",50
"341","headphones",9.99
"342","headphones",50
"343","headphones",49.99
"344","headphones",30
"345","headphones",12.99
"346","headphones",49
"347","headphones",39.99
"348","headphones",35
"349","headphones",10
"350","headphones",15
"351","headphones",30
"352","headphones",10
"353","headphones",14.99
"354","headphones",19.99
"355","headphones",39.89
"356","headphones",10
"357","headphones",14.99
"358","headphones",15
"359","headphones",9.99
"360","headphones",35
"361","headphones",9.99
"362","headphones",9.99
"363","headphones",80
"364","headphones",20
"365","headphones",27.99
"366","headphones",9.99
"367","headphones",23.99
"368","headphones",24.99
"369","headphones",4.99
"370","headphones",15.99
"371","headphones",25
"372","headphones",15.89
"373","headphones",20
"374","headphones",9.99
"375","headphones",50.5
"376","headphones",100
"377","headphones",17
"378","headphones",29.99
"379","laptop",640
"380","laptop",400
"381","laptop",800
"382","laptop",700
"383","laptop",650.99
"384","laptop",399.99
"385","laptop",499.99
"386","laptop",800
"387","laptop",500
"388","laptop",699.99
"389","laptop",800
"390","laptop",329.99
"391","laptop",800
"392","laptop",499.99
"393","laptop",500.5
"394","laptop",699.99
"395","laptop",1000
"396","laptop",699.99
"397","laptop",500
"398","laptop",299.99
"399","laptop",300
"400","laptop",424.99
"401","laptop",800
"402","laptop",550
"403","laptop",650
"404","laptop",1220.99
"405","laptop",800
"406","laptop",799
"407","laptop",499.99
"408","laptop",750
"409","laptop",599.99
"410","laptop",650
"411","laptop",599.99
"412","laptop",1000
"413","laptop",900
"414","laptop",450
"415","laptop",450.5
"416","laptop",599.99
"417","laptop",599.99
"418","laptop",600.99
"419","laptop",300
"420","laptop",400
"421","laptop",529.99
"422","laptop",999.99
"423","laptop",1000
"424","laptop",499.95
"425","laptop",750
"426","laptop",899.99
"427","laptop",425
"428","laptop",399.99
"429","laptop",398.99
"430","laptop",700
"431","laptop",400
"432","laptop",700
"433","laptop",399.99
"434","laptop",678.65
"435","laptop",800
"436","laptop",379.99
"437","laptop",800
"438","laptop",299.99
"439","laptop",500
"440","laptop",499
"441","laptop",299
"442","laptop",600.5
"443","laptop",1000
"444","laptop",1699.99
"445","laptop",599.99
"446","laptop",399.99
"447","laptop",752.43
"448","laptop",250.99
"449","laptop",500
"450","laptop",525.99
"451","laptop",500
"452","laptop",500
"453","laptop",500
"454","laptop",600
"455","laptop",900
"456","laptop",599.99
"457","laptop",350
"458","laptop",400
"459","laptop",399.99
"460","laptop",500
"461","laptop",349.99
"462","laptop",500
"463","laptop",599.99
"464","laptop",1500
"465","laptop",800.59
"466","laptop",300
"467","laptop",349.99
"468","laptop",900
"469","laptop",649.98
"470","laptop",500
"471","laptop",699.99
"472","laptop",899
"473","laptop",700.99
"474","laptop",600
"475","laptop",995
"476","laptop",300
"477","laptop",400.5
"478","laptop",450
"479","laptop",600
"480","laptop",594.96
"481","laptop",549.55
"482","laptop",350
"483","laptop",278.99
"484","laptop",499
"485","laptop",699.99
"486","laptop",800
"487","laptop",299.99
"488","laptop",499.99
"489","laptop",799
"490","laptop",500
"491","laptop",469.99
"492","laptop",599.99
"493","laptop",237.47
"494","laptop",350.99
"495","laptop",650.98
"496","laptop",325
"497","laptop",700
"498","laptop",1299.99
"499","laptop",400
"500","laptop",249.99
"501","laptop",500.99
"502","laptop",1200
"503","laptop",575
"504","laptop",1059.99
"505","sweater",32.99
"506","sweater",25
"507","sweater",45
"508","sweater",50
"509","sweater",29.99
"510","sweater",60
"511","sweater",65
"512","sweater",21.22
"513","sweater",30
"514","sweater",12.99
"515","sweater",25.99
"516","sweater",25
"517","sweater",50
"518","sweater",29.99
"519","sweater",32.99
"520","sweater",35.99
"521","sweater",15
"522","sweater",34.99
"523","sweater",45
"524","sweater",10.99
"525","sweater",15
"526","sweater",45.99
"527","sweater",18
"528","sweater",17.99
"529","sweater",45
"530","sweater",30.5
"531","sweater",50
"532","sweater",29
"533","sweater",49.98
"534","sweater",19.99
"535","sweater",24.99
"536","sweater",40
"537","sweater",50
"538","sweater",49.99
"539","sweater",20
"540","sweater",20
"541","sweater",20
"542","sweater",24.99
"543","sweater",19.99
"544","sweater",30.99
"545","sweater",12
"546","sweater",18.47
"547","sweater",45
"548","sweater",19.99
"549","sweater",40
"550","sweater",19.95
"551","sweater",17.5
"552","sweater",34.99
"553","sweater",39.5
"554","sweater",34.99
"555","sweater",19.99
"556","sweater",15
"557","sweater",35
"558","sweater",20.99
"559","sweater",45
"560","sweater",35.99
"561","sweater",29.99
"562","sweater",30.99
"563","sweater",30
"564","sweater",34.99
"565","sweater",30
"566","sweater",25
"567","sweater",45
"568","sweater",50
"569","sweater",40
"570","sweater",25.99
"571","sweater",25.99
"572","sweater",59.99
"573","sweater",35.66
"574","sweater",10
"575","sweater",14.99
"576","sweater",40.99
"577","sweater",38.99
"578","sweater",40
"579","sweater",49.99
"580","sweater",25
"581","sweater",40
"582","sweater",39.99
"583","sweater",15
"584","sweater",20
"585","sweater",19.99
"586","sweater",30
"587","sweater",25
"588","sweater",20
"589","sweater",39.99
"590","sweater",25
"591","sweater",45.99
"592","sweater",29.99
"593","sweater",29.99
"594","sweater",35
"595","sweater",14.99
"596","sweater",45
"597","sweater",20.99
"598","sweater",14.99
"599","sweater",24.99
"600","sweater",35
"601","sweater",25
"602","sweater",20
"603","sweater",35
"604","sweater",10.5
"605","sweater",40
"606","sweater",15.95
"607","sweater",29.99
"608","sweater",38
"609","sweater",29.98
"610","sweater",19.99
"611","sweater",12.99
"612","sweater",50
"613","sweater",39.99
"614","sweater",20.99
"615","sweater",50
"616","sweater",20
"617","sweater",45.99
"618","sweater",19.99
"619","sweater",31.89
"620","sweater",35
"621","sweater",19.99
"622","sweater",19.98
"623","sweater",50
"624","sweater",24.99
"625","sweater",25
"626","sweater",24.99
"627","sweater",20.99
"628","sweater",135
"629","sweater",40
"630","sweater",45.99
"631","watch",32.99
"632","watch",25
"633","watch",45
"634","watch",50
"635","watch",29.99
"636","watch",60
"637","watch",65
"638","watch",21.22
"639","watch",30
"640","watch",12.99
"641","watch",25.99
"642","watch",25
"643","watch",50
"644","watch",29.99
"645","watch",32.99
"646","watch",35.99
"647","watch",15
"648","watch",34.99
"649","watch",45
"650","watch",10.99
"651","watch",15
"652","watch",45.99
"653","watch",18
"654","watch",17.99
"655","watch",45
"656","watch",30.5
"657","watch",50
"658","watch",29
"659","watch",49.98
"660","watch",19.99
"661","watch",24.99
"662","watch",40
"663","watch",50
"664","watch",49.99
"665","watch",20
"666","watch",20
"667","watch",20
"668","watch",24.99
"669","watch",19.99
"670","watch",30.99
"671","watch",12
"672","watch",18.47
"673","watch",45
"674","watch",19.99
"675","watch",40
"676","watch",19.95
"677","watch",17.5
"678","watch",34.99
"679","watch",39.5
"680","watch",34.99
"681","watch",19.99
"682","watch",15
"683","watch",35
"684","watch",20.99
"685","watch",45
"686","watch",35.99
"687","watch",29.99
"688","watch",30.99
"689","watch",30
"690","watch",34.99
"691","watch",30
"692","watch",25
"693","watch",45
"694","watch",50
"695","watch",40
"696","watch",25.99
"697","watch",25.99
"698","watch",59.99
"699","watch",35.66
"700","watch",10
"701","watch",14.99
"702","watch",40.99
"703","watch",38.99
"704","watch",40
"705","watch",49.99
"706","watch",25
"707","watch",40
"708","watch",39.99
"709","watch",15
"710","watch",20
"711","watch",19.99
"712","watch",30
"713","watch",25
"714","watch",20
"715","watch",39.99
"716","watch",25
"717","watch",45.99
"718","watch",29.99
"719","watch",29.99
"720","watch",35
"721","watch",14.99
"722","watch",45
"723","watch",20.99
"724","watch",14.99
"725","watch",24.99
"726","watch",35
"727","watch",25
"728","watch",20
"729","watch",35
"730","watch",10.5
"731","watch",40
"732","watch",15.95
"733","watch",29.99
"734","watch",38
"735","watch",29.98
"736","watch",19.99
"737","watch",12.99
"738","watch",50
"739","watch",39.99
"740","watch",20.99
"741","watch",50
"742","watch",20
"743","watch",45.99
"744","watch",19.99
"745","watch",31.89
"746","watch",35
"747","watch",19.99
"748","watch",19.98
"749","watch",50
"750","watch",24.99
"751","watch",25
"752","watch",24.99
"753","watch",20.99
"754","watch",135
"755","watch",40
"756","watch",45.99
