"","price","object"
"487",39.99,"sweater"
"488",20.99,"sweater"
"489",50,"sweater"
"490",20,"sweater"
"491",45.99,"sweater"
"492",19.99,"sweater"
"493",31.89,"sweater"
"494",35,"sweater"
"495",19.99,"sweater"
"496",19.98,"sweater"
"497",50,"sweater"
"498",24.99,"sweater"
"499",25,"sweater"
"500",24.99,"sweater"
"501",20.99,"sweater"
"502",135,"sweater"
"503",40,"sweater"
"504",45.99,"sweater"
"505",32.99,"watch"
"506",25,"watch"
"507",45,"watch"
"508",50,"watch"
"509",29.99,"watch"
"510",60,"watch"
"511",65,"watch"
"512",21.22,"watch"
"513",30,"watch"
"514",12.99,"watch"
"515",25.99,"watch"
"516",25,"watch"
"517",50,"watch"
"518",29.99,"watch"
"519",32.99,"watch"
"520",35.99,"watch"
"521",15,"watch"
"522",34.99,"watch"
"523",45,"watch"
"524",10.99,"watch"
"525",15,"watch"
"526",45.99,"watch"
"527",18,"watch"
"528",17.99,"watch"
"529",45,"watch"
"530",30.5,"watch"
"531",50,"watch"
"532",29,"watch"
"533",49.98,"watch"
"534",19.99,"watch"
"535",24.99,"watch"
"536",40,"watch"
"537",50,"watch"
"538",49.99,"watch"
"539",20,"watch"
"540",20,"watch"
"541",20,"watch"
"542",24.99,"watch"
"543",19.99,"watch"
"544",30.99,"watch"
"545",12,"watch"
"546",18.47,"watch"
"547",45,"watch"
"548",19.99,"watch"
"549",40,"watch"
"550",19.95,"watch"
"551",17.5,"watch"
"552",34.99,"watch"
"553",39.5,"watch"
"554",34.99,"watch"
"555",19.99,"watch"
"556",15,"watch"
"557",35,"watch"
"558",20.99,"watch"
"559",45,"watch"
"560",35.99,"watch"
"561",29.99,"watch"
"562",30.99,"watch"
"563",30,"watch"
"564",34.99,"watch"
"565",30,"watch"
"566",25,"watch"
"567",45,"watch"
"568",50,"watch"
"569",40,"watch"
"570",25.99,"watch"
"571",25.99,"watch"
"572",59.99,"watch"
"573",35.66,"watch"
"574",10,"watch"
"575",14.99,"watch"
"576",40.99,"watch"
"577",38.99,"watch"
"578",40,"watch"
"579",49.99,"watch"
"580",25,"watch"
"581",40,"watch"
"582",39.99,"watch"
"583",15,"watch"
"584",20,"watch"
"585",19.99,"watch"
"586",30,"watch"
"587",25,"watch"
"588",20,"watch"
"589",39.99,"watch"
"590",25,"watch"
"591",45.99,"watch"
"592",29.99,"watch"
"593",29.99,"watch"
"594",35,"watch"
"595",14.99,"watch"
"596",45,"watch"
"597",20.99,"watch"
"598",14.99,"watch"
"599",24.99,"watch"
"600",35,"watch"
"601",25,"watch"
"602",20,"watch"
"603",35,"watch"
"604",10.5,"watch"
"605",40,"watch"
"606",15.95,"watch"
"607",29.99,"watch"
"608",38,"watch"
"609",29.98,"watch"
"610",19.99,"watch"
"611",12.99,"watch"
"612",50,"watch"
"613",39.99,"watch"
"614",20.99,"watch"
"615",50,"watch"
"616",20,"watch"
"617",45.99,"watch"
"618",19.99,"watch"
"619",31.89,"watch"
"620",35,"watch"
"621",19.99,"watch"
"622",19.98,"watch"
"623",50,"watch"
"624",24.99,"watch"
"625",25,"watch"
"626",24.99,"watch"
"627",20.99,"watch"
"628",135,"watch"
"629",40,"watch"
"630",45.99,"watch"
