price,theta,probability,utterance_cost,alpha
50,20,0.0003986545390568666,3,2
50,20,0.0004058893715848002,3,2
50,20,0.0004068067668734389,3,2
50,30,0.00044631324593842733,3,2
50,30,0.00044631324593842733,3,2
50,30,0.00044631324593842733,3,2
50,30,0.00044631324593842733,3,2
50,30,0.00044631324593842733,3,2
50,30,0.00044631324593842733,3,2
50,30,0.00041757244151780344,3,2
50,30,0.00042513354736089376,3,2
50,30,0.00042609227161316917,3,2
50,40,0.0006051099409636117,3,2
50,40,0.0006051099409636117,3,2
50,40,0.0006051099409636117,3,2
50,40,0.0006051099409636117,3,2
50,40,0.0006051099409636117,3,2
50,40,0.0006051099409636117,3,2
50,40,0.0005668241804218431,3,2
50,40,0.0005769052894032378,3,2
50,40,0.0005781830864849234,3,2
50,40,0.0005782624763729179,3,2
50,10,0.0004056653364112187,3,2
50,0,0.00040563556097042447,3,2
50,20,0.0004068637676338088,3,2
50,30,0.0004261518399550376,3,2
50,0,0.0004248746661931694,3,2
50,0,0.0004248746661931694,3,2
50,0,0.0004248746661931694,3,2
50,0,0.0004248746661931694,3,2
50,0,0.0004248746661931694,3,2
50,0,0.0004248746661931694,3,2
50,0,0.0003974499620117163,3,2
50,0,0.00040466396716246533,3,2
50,0,0.00040557872411869954,3,2
50,10,0.0004249057837111601,3,2
50,10,0.0004249057837111601,3,2
50,10,0.0004249057837111601,3,2
50,10,0.0004249057837111601,3,2
50,10,0.0004249057837111601,3,2
50,10,0.0004249057837111601,3,2
50,10,0.0003974791645165927,3,2
50,10,0.00040560849558526874,3,2
50,10,0.0004046936746584994,3,2
50,20,0.0004261582236464294,3,2
50,20,0.0004261582236464294,3,2
50,20,0.0004261582236464294,3,2
50,20,0.0004261582236464294,3,2
50,20,0.0004261582236464294,3,2
50,20,0.0004261582236464294,3,2
51,0,0.0004227555246858304,3,2
51,0,0.0004227555246858304,3,2
51,0,0.0004227555246858304,3,2
51,0,0.0004227555246858304,3,2
51,0,0.0004227555246858304,3,2
51,0,0.0004227555246858304,3,2
51,0,0.0003954676063228362,3,2
51,0,0.00040264563027968075,3,2
51,0,0.0004035558247152722,3,2
51,10,0.00042278648699940687,3,2
51,10,0.00042278648699940687,3,2
51,10,0.00042278648699940687,3,2
51,10,0.00042278648699940687,3,2
51,10,0.00042278648699940687,3,2
51,10,0.00039549666317478213,3,2
51,10,0.00042278648699940687,3,2
51,10,0.00040267518960404765,3,2
51,10,0.0004035854476911093,3,2
51,50,0.0015836661113530271,3,2
51,50,0.0015836661113530271,3,2
51,50,0.0015836661113530271,3,2
51,50,0.0015836661113530271,3,2
51,50,0.0015836661113530271,3,2
51,50,0.0015836661113530271,3,2
51,50,0.0014946339441841217,3,2
51,50,0.0015182069572306236,3,2
51,50,0.0015211882167002792,3,2
51,20,0.00042403268015729975,3,2
51,20,0.00042403268015729975,3,2
51,20,0.00042403268015729975,3,2
51,20,0.00042403268015729975,3,2
51,20,0.00042403268015729975,3,2
51,20,0.00039666617531568574,3,2
51,20,0.00042403268015729975,3,2
51,20,0.00040386492276929455,3,2
51,20,0.0004047777423781164,3,2
51,40,0.0006020918424643803,3,2
51,40,0.0006020918424643803,3,2
51,40,0.0006020918424643803,3,2
51,40,0.0006020918424643803,3,2
51,40,0.0006020918424643803,3,2
51,40,0.0006020918424643803,3,2
51,40,0.0005639970392819455,3,2
51,40,0.0005740278668552396,3,2
51,30,0.0004440871755228451,3,2
51,40,0.0005753782846022065,3,2
51,30,0.0004440871755228451,3,2
51,30,0.0004440871755228451,3,2
51,30,0.0004440871755228451,3,2
51,30,0.0004440871755228451,3,2
51,30,0.0004440871755228451,3,2
51,30,0.00041548972121567405,3,2
51,30,0.000423013114635529,3,2
51,30,0.0004239670570720861,3,2
49,0,0.0004227555246858304,3,2
49,0,0.0004227555246858304,3,2
49,0,0.0004227555246858304,3,2
49,0,0.0004227555246858304,3,2
49,0,0.0004227555246858304,3,2
49,0,0.0003506028244237282,3,2
49,0,0.0003954676063228362,3,2
49,0,0.00040264563027968075,3,2
49,0,0.0004035558247152722,3,2
49,20,0.00042403268015729975,3,2
49,20,0.00042403268015729975,3,2
49,20,0.00042403268015729975,3,2
49,20,0.00042403268015729975,3,2
49,20,0.00042403268015729975,3,2
49,20,0.00035167103227887203,3,2
49,20,0.00039666617531568574,3,2
49,20,0.00040386492276929455,3,2
49,20,0.0004047777423781164,3,2
49,10,0.00042278648699940687,3,2
49,10,0.00042278648699940687,3,2
49,10,0.00042278648699940687,3,2
49,10,0.00042278648699940687,3,2
49,10,0.00042278648699940687,3,2
49,10,0.0003506287205333767,3,2
49,10,0.00039549666317478213,3,2
49,10,0.00040267518960404765,3,2
49,10,0.0004035854476911093,3,2
49,40,0.0006020918424643803,3,2
49,10,0.0004036420050128563,3,2
49,40,0.0006020918424643803,3,2
49,40,0.0006020918424643803,3,2
49,40,0.0006020918424643803,3,2
49,40,0.0005011377913474258,3,2
49,40,0.0006020918424643803,3,2
49,40,0.0005639970392819455,3,2
49,40,0.0005740278668552396,3,2
49,30,0.0004440871755228451,3,2
49,40,0.0005753782846022065,3,2
49,30,0.0004440871755228451,3,2
49,30,0.0004440871755228451,3,2
49,30,0.0004440871755228451,3,2
49,30,0.0004440871755228451,3,2
49,30,0.0003684517288918529,3,2
49,30,0.00041548972121567405,3,2
49,30,0.0004239670570720861,3,2
49,30,0.000423013114635529,3,2
51,30,0.00042402632830575886,3,2
51,0,0.0004036123780826164,3,2
51,40,0.0005752992906860604,3,2
51,10,0.0004036420050128563,3,2
51,20,0.00040483445883658073,3,2
51,50,0.0015213733938614707,3,2
49,30,0.00042402632830575886,3,2
49,40,0.0005752992906860604,3,2
49,0,0.0004036123780826164,3,2
49,20,0.00040483445883658073,3,2
48,20,0.00039880731584238495,3,2
52,30,0.000417655069487962,3,2
52,0,0.0003976034293287911,3,2
48,10,0.00039763261517566684,3,2
52,40,0.0005668120987912975,3,2
52,50,0.0014987233086421452,3,2
52,20,0.00039880731584238495,3,2
48,0,0.0003976034293287911,3,2
48,30,0.0004177134582962557,3,2
48,40,0.0005668120987912975,3,2
52,0,0.00041646157429882466,3,2
52,0,0.00041646157429882466,3,2
52,0,0.00041646157429882466,3,2
52,0,0.00041646157429882466,3,2
52,0,0.00041646157429882466,3,2
52,0,0.00041646157429882466,3,2
52,0,0.0003895799162785396,3,2
52,0,0.00039665107438970564,3,2
52,0,0.0003975477179234505,3,2
52,10,0.0004164920756479561,3,2
52,10,0.0004164920756479561,3,2
52,10,0.0004164920756479561,3,2
52,10,0.0004164920756479561,3,2
52,10,0.0004164920756479561,3,2
52,10,0.00038960854053440136,3,2
52,10,0.0004164920756479561,3,2
52,10,0.0003966801936372185,3,2
52,10,0.0003975768998747962,3,2
52,30,0.0004374756412269339,3,2
52,10,0.00039763261517566684,3,2
52,30,0.0004374756412269339,3,2
52,30,0.0004374756412269339,3,2
52,30,0.0004374756412269339,3,2
52,30,0.0004374756412269339,3,2
52,30,0.0004374756412269339,3,2
52,30,0.0004093039435287102,3,2
52,30,0.0004167153292699862,3,2
52,20,0.00041771971558194037,3,2
52,30,0.0004177134582962557,3,2
52,20,0.00041771971558194037,3,2
52,20,0.00041771971558194037,3,2
52,20,0.00041771971558194037,3,2
52,20,0.00041771971558194037,3,2
52,20,0.00041771971558194037,3,2
52,20,0.00039076064107223477,3,2
52,20,0.00039875144377401106,3,2
52,20,0.00039785221415040387,3,2
52,50,0.0015600886171455966,3,2
52,50,0.0015600886171455966,3,2
52,50,0.0015600886171455966,3,2
52,50,0.0015600886171455966,3,2
52,50,0.0015600886171455966,3,2
52,50,0.0015600886171455966,3,2
52,50,0.0014723819537496466,3,2
52,50,0.0014956040136662105,3,2
52,50,0.0014985408883836963,3,2
52,40,0.0005931279473438899,3,2
52,40,0.0005931279473438899,3,2
52,40,0.0005931279473438899,3,2
52,40,0.0005931279473438899,3,2
52,40,0.0005931279473438899,3,2
52,40,0.0005556002965396784,3,2
52,40,0.0005931279473438899,3,2
52,40,0.0005654817859555742,3,2
52,40,0.0005667342809302483,3,2
48,0,0.00041646157429882466,3,2
48,0,0.00041646157429882466,3,2
48,0,0.00041646157429882466,3,2
48,0,0.00041646157429882466,3,2
48,0,0.00041646157429882466,3,2
48,0,0.0003453830776584863,3,2
48,0,0.0003895799162785396,3,2
48,0,0.00039665107438970564,3,2
48,0,0.0003975477179234505,3,2
48,10,0.0004164920756479561,3,2
48,10,0.0004164920756479561,3,2
48,10,0.0004164920756479561,3,2
48,10,0.0004164920756479561,3,2
48,10,0.0004164920756479561,3,2
48,10,0.0003454085882289287,3,2
48,10,0.00038960854053440136,3,2
48,10,0.0003966801936372185,3,2
48,10,0.0003975768998747962,3,2
48,20,0.00041771971558194037,3,2
48,20,0.00041771971558194037,3,2
48,20,0.00041771971558194037,3,2
48,20,0.00041771971558194037,3,2
48,20,0.00041771971558194037,3,2
48,20,0.0003464353821206507,3,2
48,20,0.00039076064107223477,3,2
48,20,0.00039785221415040387,3,2
48,20,0.00039875144377401106,3,2
48,40,0.0005931279473438899,3,2
48,40,0.0005931279473438899,3,2
48,40,0.0005931279473438899,3,2
48,40,0.0005931279473438899,3,2
48,40,0.0005931279473438899,3,2
48,40,0.0004936768920531145,3,2
48,40,0.0005556002965396784,3,2
48,40,0.0005654817859555742,3,2
48,40,0.0005667342809302483,3,2
48,30,0.0004374756412269339,3,2
48,30,0.0004374756412269339,3,2
48,30,0.0004374756412269339,3,2
48,30,0.0004374756412269339,3,2
48,30,0.0004374756412269339,3,2
48,30,0.0004093039435287102,3,2
48,30,0.0003629662490666621,3,2
48,30,0.0004167153292699862,3,2
48,30,0.000417655069487962,3,2
53,20,0.0004074061615397311,3,2
53,20,0.0004074061615397311,3,2
53,20,0.0004074061615397311,3,2
53,20,0.0004074061615397311,3,2
53,20,0.0004074061615397311,3,2
53,20,0.0004074061615397311,3,2
53,20,0.00038111271008182886,3,2
53,20,0.0003880291912994568,3,2
53,20,0.00038890621882684137,3,2
53,10,0.00040620883219519597,3,2
53,10,0.00040620883219519597,3,2
53,10,0.00040620883219519597,3,2
53,10,0.00040620883219519597,3,2
53,10,0.00040620883219519597,3,2
53,10,0.00040620883219519597,3,2
53,10,0.00037998905505593985,3,2
53,10,0.000386886108124995,3,2
53,10,0.0003877606745690783,3,2
53,40,0.000578483541272815,3,2
53,40,0.000578483541272815,3,2
53,40,0.000578483541272815,3,2
53,40,0.000578483541272815,3,2
