"item","meanlog","sdlog"
"college student",2.94769660635572,0.393748467390275
"new parent",3.2000838124453,0.384771212958045
"New Yorker",3.27508011001856,0.829597091903199
"tree",2.5259941554575,1.14569180712923
"building",3.48502904856945,1.61162979069258
"mountain",7.99266418689281,1.47896677253973
"coffee maker",3.51398214778879,0.870977361498681
"watch",-11.1911507175207,5.18383551836068
"laptop",6.24828753313351,0.751522870759499
