type,param,property,category,val,prob
global_param,sigbin,NA,NA,0.01262367794666837,0.0015000000000000002
price_prior,mu,NA,coffee maker,4.480130420876236,0.0015000000000000002
price_prior,sigma,NA,coffee maker,0.8090396374756861,0.0015000000000000002
price_prior,mu,NA,watch,6.237157686028187,0.0015000000000000002
price_prior,sigma,NA,watch,1.2710700423807195,0.0015000000000000002
price_prior,mu,NA,headphones,4.63901463946874,0.0015000000000000002
price_prior,sigma,NA,headphones,0.9015352825226914,0.0015000000000000002
price_prior,mu,NA,laptop,6.866509578049566,0.0015000000000000002
price_prior,sigma,NA,laptop,0.6536911930644238,0.0015000000000000002
price_prior,mu,NA,sweater,4.056909280832429,0.0015000000000000002
price_prior,sigma,NA,sweater,0.8419441224908204,0.0015000000000000002
global_param,sigbin,NA,NA,0.01262367794666837,0.0015000000000000002
price_prior,mu,NA,coffee maker,4.480130420876236,0.0015000000000000002
price_prior,sigma,NA,coffee maker,0.8090396374756861,0.0015000000000000002
price_prior,mu,NA,watch,6.237157686028187,0.0015000000000000002
price_prior,sigma,NA,watch,1.2710700423807195,0.0015000000000000002
price_prior,mu,NA,headphones,4.639596622347069,0.0015000000000000002
price_prior,sigma,NA,headphones,0.9015352825226914,0.0015000000000000002
price_prior,mu,NA,laptop,6.866509578049566,0.0015000000000000002
price_prior,sigma,NA,laptop,0.6536911930644238,0.0015000000000000002
price_prior,mu,NA,sweater,4.056909280832429,0.0015000000000000002
price_prior,sigma,NA,sweater,0.8419441224908204,0.0015000000000000002
global_param,sigbin,NA,NA,0.01262367794666837,0.0004999999999999998
price_prior,mu,NA,coffee maker,4.480130420876236,0.0004999999999999998
price_prior,sigma,NA,coffee maker,0.8090396374756861,0.0004999999999999998
price_prior,mu,NA,watch,6.237157686028187,0.0004999999999999998
price_prior,sigma,NA,watch,1.2710700423807195,0.0004999999999999998
price_prior,mu,NA,headphones,4.639596622347069,0.0004999999999999998
price_prior,sigma,NA,headphones,0.9015352825226914,0.0004999999999999998
price_prior,mu,NA,laptop,6.866509578049566,0.0004999999999999998
price_prior,sigma,NA,laptop,0.6536911930644238,0.0004999999999999998
price_prior,mu,NA,sweater,4.094762614241227,0.0004999999999999998
