type,param,property,category,val,prob
global_param,speakerOptimality,NA,NA,1.2229299570164187,0.0020000000000000005
global_param,sigbin,NA,NA,0.02036422398622717,0.0020000000000000005
S1,188,11,coffee maker,0.6211683274561433,0.0020000000000000005
S1,84,11,coffee maker,0.4086000204621633,0.0020000000000000005
S1,124,11,coffee maker,0.5338339932886536,0.0020000000000000005
S1,52,11,coffee maker,0.2765336205658161,0.0020000000000000005
S1,24,11,coffee maker,0.14905173545582223,0.0020000000000000005
Inductive,20,11,coffee maker,0.829869265866738,0.0020000000000000005
Inductive,2,11,coffee maker,0.9828121500413385,0.0020000000000000005
Inductive,140,11,coffee maker,0.15850430718836347,0.0020000000000000005
Inductive,100,11,coffee maker,0.3150272709218171,0.0020000000000000005
Inductive,200,11,coffee maker,0.013632140547953035,0.0020000000000000005
price_prior,mu,NA,coffee maker,4.6477374448043935,0.0020000000000000005
price_prior,sigma,NA,coffee maker,0.8424488964398389,0.0020000000000000005
S1,100,11,watch,0.10612532311235157,0.0020000000000000005
S1,2000,11,watch,0.7495919816295096,0.0020000000000000005
S1,900,11,watch,0.6192122866223879,0.0020000000000000005
S1,450,11,watch,0.40001402894356963,0.0020000000000000005
S1,250,11,watch,0.22730222276175424,0.0020000000000000005
Inductive,240,11,watch,0.7073870503752762,0.0020000000000000005
Inductive,1200,11,watch,0.17817404635524753,0.0020000000000000005
Inductive,1680,11,watch,0.07465966586997701,0.0020000000000000005
Inductive,2400,11,watch,0,0.0020000000000000005
Inductive,24,11,watch,0.9663839374728168,0.0020000000000000005
price_prior,mu,NA,watch,6.078322623256778,0.0020000000000000005
price_prior,sigma,NA,watch,1.1779410931490655,0.0020000000000000005
S1,144,11,headphones,0.5902211777449858,0.0020000000000000005
S1,234,11,headphones,0.682593139492677,0.0020000000000000005
S1,24,11,headphones,0.16253332776691415,0.0020000000000000005
S1,96,11,headphones,0.45526622265086875,0.0020000000000000005
S1,60,11,headphones,0.3117763096176775,0.0020000000000000005
Inductive,180.6,11,headphones,0.10520921134629775,0.0020000000000000005
Inductive,129,11,headphones,0.2331507840683317,0.0020000000000000005
Inductive,25.8,11,headphones,0.7788188666280821,0.0020000000000000005
Inductive,258,11,headphones,0,0.0020000000000000005
Inductive,2.58,11,headphones,0.9774954880592842,0.0020000000000000005
price_prior,mu,NA,headphones,4.519876659826743,0.0020000000000000005
price_prior,sigma,NA,headphones,0.8412183356951488,0.0020000000000000005
S1,1850,11,laptop,0.6309503699270871,0.0020000000000000005
S1,900,11,laptop,0.44000822153956154,0.0020000000000000005
S1,350,11,laptop,0.20600318322679256,0.0020000000000000005
S1,600,11,laptop,0.32549402249952575,0.0020000000000000005
S1,1250,11,laptop,0.5506772563198911,0.0020000000000000005
Inductive,1295,11,laptop,0.1407393367595751,0.0020000000000000005
Inductive,1850,11,laptop,0.025867188412502486,0.0020000000000000005
Inductive,185,11,laptop,0.8343801544012188,0.0020000000000000005
Inductive,18.5,11,laptop,0.9833540825272461,0.0020000000000000005
Inductive,925,11,laptop,0.29175737910986244,0.0020000000000000005
price_prior,mu,NA,laptop,6.906351163437159,0.0020000000000000005
price_prior,sigma,NA,laptop,0.6327034792136035,0.0020000000000000005
S1,57,11,sweater,0.4021463196511162,0.0020000000000000005
S1,87,11,sweater,0.5458812640788268,0.0020000000000000005
S1,36,11,sweater,0.27276578704798804,0.0020000000000000005
