type,param,property,category,val,prob
global_param,sigbin,NA,NA,0.012373389607694386,0.0005999999999999994
price_prior,mu,NA,laptop,6.90515303529705,0.0005999999999999994
price_prior,sigma,NA,laptop,0.6300123647324638,0.0005999999999999994
price_prior,mu,NA,sweater,4.219213752184187,0.0005999999999999994
price_prior,sigma,NA,sweater,0.8313133160352886,0.0005999999999999994
price_prior,mu,NA,coffee maker,4.574963254504619,0.0005999999999999994
price_prior,sigma,NA,coffee maker,0.7205019606063874,0.0005999999999999994
price_prior,mu,NA,watch,6.2702375506112755,0.0005999999999999994
price_prior,sigma,NA,watch,1.2042540074793997,0.0005999999999999994
price_prior,mu,NA,headphones,4.6679404193795,0.0005999999999999994
price_prior,sigma,NA,headphones,0.8921255705446731,0.0005999999999999994
global_param,sigbin,NA,NA,0.012373389607694386,0.0025999999999999986
price_prior,mu,NA,laptop,6.90515303529705,0.0025999999999999986
price_prior,sigma,NA,laptop,0.6300123647324638,0.0025999999999999986
price_prior,mu,NA,sweater,4.219213752184187,0.0025999999999999986
price_prior,sigma,NA,sweater,0.8313133160352886,0.0025999999999999986
price_prior,mu,NA,coffee maker,4.574963254504619,0.0025999999999999986
price_prior,sigma,NA,coffee maker,0.706375263345502,0.0025999999999999986
price_prior,mu,NA,watch,6.2702375506112755,0.0025999999999999986
price_prior,sigma,NA,watch,1.2042540074793997,0.0025999999999999986
price_prior,mu,NA,headphones,4.6679404193795,0.0025999999999999986
price_prior,sigma,NA,headphones,0.8921255705446731,0.0025999999999999986
global_param,sigbin,NA,NA,0.012373389607694386,0.0005999999999999994
price_prior,mu,NA,laptop,6.927790312459267,0.0005999999999999994
price_prior,sigma,NA,laptop,0.6300123647324638,0.0005999999999999994
price_prior,mu,NA,sweater,4.219213752184187,0.0005999999999999994
price_prior,sigma,NA,sweater,0.8313133160352886,0.0005999999999999994
price_prior,mu,NA,coffee maker,4.574963254504619,0.0005999999999999994
price_prior,sigma,NA,coffee maker,0.706375263345502,0.0005999999999999994
price_prior,mu,NA,watch,6.2702375506112755,0.0005999999999999994
price_prior,sigma,NA,watch,1.2042540074793997,0.0005999999999999994
price_prior,mu,NA,headphones,4.6679404193795,0.0005999999999999994
price_prior,sigma,NA,headphones,0.8921255705446731,0.0005999999999999994
global_param,sigbin,NA,NA,0.012373389607694386,0.0011999999999999988
price_prior,mu,NA,laptop,6.927790312459267,0.0011999999999999988
price_prior,sigma,NA,laptop,0.6300123647324638,0.0011999999999999988
price_prior,mu,NA,sweater,4.219213752184187,0.0011999999999999988
price_prior,sigma,NA,sweater,0.8313133160352886,0.0011999999999999988
price_prior,mu,NA,coffee maker,4.574963254504619,0.0011999999999999988
price_prior,sigma,NA,coffee maker,0.7680263371302727,0.0011999999999999988
price_prior,mu,NA,watch,6.2702375506112755,0.0011999999999999988
price_prior,sigma,NA,watch,1.2042540074793997,0.0011999999999999988
price_prior,mu,NA,headphones,4.6679404193795,0.0011999999999999988
price_prior,sigma,NA,headphones,0.8921255705446731,0.0011999999999999988
global_param,sigbin,NA,NA,0.012373389607694386,0.0005999999999999994
price_prior,mu,NA,laptop,6.927790312459267,0.0005999999999999994
price_prior,sigma,NA,laptop,0.6300123647324638,0.0005999999999999994
price_prior,mu,NA,sweater,4.219213752184187,0.0005999999999999994
price_prior,sigma,NA,sweater,0.8313133160352886,0.0005999999999999994
price_prior,mu,NA,coffee maker,4.645896338334223,0.0005999999999999994
price_prior,sigma,NA,coffee maker,0.7680263371302727,0.0005999999999999994
price_prior,mu,NA,watch,6.2702375506112755,0.0005999999999999994
price_prior,sigma,NA,watch,1.2042540074793997,0.0005999999999999994
price_prior,mu,NA,headphones,4.6679404193795,0.0005999999999999994
price_prior,sigma,NA,headphones,0.8921255705446731,0.0005999999999999994
global_param,sigbin,NA,NA,0.012373389607694386,0.0016
price_prior,mu,NA,laptop,6.918295456596311,0.0016
price_prior,sigma,NA,laptop,0.6300123647324638,0.0016
price_prior,mu,NA,sweater,4.219213752184187,0.0016
price_prior,sigma,NA,sweater,0.8313133160352886,0.0016
price_prior,mu,NA,coffee maker,4.645896338334223,0.0016
price_prior,sigma,NA,coffee maker,0.7680263371302727,0.0016
price_prior,mu,NA,watch,6.2702375506112755,0.0016
price_prior,sigma,NA,watch,1.2042540074793997,0.0016
price_prior,mu,NA,headphones,4.6679404193795,0.0016
price_prior,sigma,NA,headphones,0.8921255705446731,0.0016
global_param,sigbin,NA,NA,0.012373389607694386,0.0008
price_prior,mu,NA,laptop,6.918295456596311,0.0008
price_prior,sigma,NA,laptop,0.6300123647324638,0.0008
price_prior,mu,NA,sweater,4.219213752184187,0.0008
price_prior,sigma,NA,sweater,0.8313133160352886,0.0008
price_prior,mu,NA,coffee maker,4.632228279053022,0.0008
price_prior,sigma,NA,coffee maker,0.7680263371302727,0.0008
price_prior,mu,NA,watch,6.2702375506112755,0.0008
price_prior,sigma,NA,watch,1.2042540074793997,0.0008
price_prior,mu,NA,headphones,4.6679404193795,0.0008
price_prior,sigma,NA,headphones,0.8921255705446731,0.0008
global_param,sigbin,NA,NA,0.012373389607694386,0.0009999999999999996
price_prior,mu,NA,laptop,6.918295456596311,0.0009999999999999996
price_prior,sigma,NA,laptop,0.6300123647324638,0.0009999999999999996
price_prior,mu,NA,sweater,4.219213752184187,0.0009999999999999996
price_prior,sigma,NA,sweater,0.8313133160352886,0.0009999999999999996
price_prior,mu,NA,coffee maker,4.632228279053022,0.0009999999999999996
price_prior,sigma,NA,coffee maker,0.7546427036910235,0.0009999999999999996
price_prior,mu,NA,watch,6.2702375506112755,0.0009999999999999996
price_prior,sigma,NA,watch,1.2042540074793997,0.0009999999999999996
price_prior,mu,NA,headphones,4.6679404193795,0.0009999999999999996
price_prior,sigma,NA,headphones,0.8921255705446731,0.0009999999999999996
global_param,sigbin,NA,NA,0.012373389607694386,0.0005999999999999994
price_prior,mu,NA,laptop,6.918295456596311,0.0005999999999999994
price_prior,sigma,NA,laptop,0.6253274344239788,0.0005999999999999994
price_prior,mu,NA,sweater,4.219213752184187,0.0005999999999999994
price_prior,sigma,NA,sweater,0.8313133160352886,0.0005999999999999994
price_prior,mu,NA,coffee maker,4.632228279053022,0.0005999999999999994
price_prior,sigma,NA,coffee maker,0.7546427036910235,0.0005999999999999994
price_prior,mu,NA,watch,6.2702375506112755,0.0005999999999999994
price_prior,sigma,NA,watch,1.2042540074793997,0.0005999999999999994
price_prior,mu,NA,headphones,4.6679404193795,0.0005999999999999994
price_prior,sigma,NA,headphones,0.8921255705446731,0.0005999999999999994
global_param,sigbin,NA,NA,0.012373389607694386,0.00019999999999999985
price_prior,mu,NA,laptop,6.918295456596311,0.00019999999999999985
price_prior,sigma,NA,laptop,0.6253274344239788,0.00019999999999999985
price_prior,mu,NA,sweater,4.219213752184187,0.00019999999999999985
price_prior,sigma,NA,sweater,0.8313133160352886,0.00019999999999999985
price_prior,mu,NA,coffee maker,4.632228279053022,0.00019999999999999985
price_prior,sigma,NA,coffee maker,0.7546427036910235,0.00019999999999999985
price_prior,mu,NA,watch,6.295672652921461,0.00019999999999999985
price_prior,sigma,NA,watch,1.2042540074793997,0.00019999999999999985
price_prior,mu,NA,headphones,4.6679404193795,0.00019999999999999985
price_prior,sigma,NA,headphones,0.8921255705446731,0.00019999999999999985
global_param,sigbin,NA,NA,0.012373389607694386,0.0011999999999999988
price_prior,mu,NA,laptop,6.918295456596311,0.0011999999999999988
price_prior,sigma,NA,laptop,0.6253274344239788,0.0011999999999999988
price_prior,mu,NA,sweater,4.219213752184187,0.0011999999999999988
price_prior,sigma,NA,sweater,0.8313133160352886,0.0011999999999999988
price_prior,mu,NA,coffee maker,4.632228279053022,0.0011999999999999988
price_prior,sigma,NA,coffee maker,0.7546427036910235,0.0011999999999999988
price_prior,mu,NA,watch,6.295672652921461,0.0011999999999999988
price_prior,sigma,NA,watch,1.2061094986845597,0.0011999999999999988
price_prior,mu,NA,headphones,4.6679404193795,0.0011999999999999988
price_prior,sigma,NA,headphones,0.8921255705446731,0.0011999999999999988
global_param,sigbin,NA,NA,0.012373389607694386,0.00019999999999999985
price_prior,mu,NA,laptop,6.918295456596311,0.00019999999999999985
price_prior,sigma,NA,laptop,0.6253274344239788,0.00019999999999999985
price_prior,mu,NA,sweater,4.219213752184187,0.00019999999999999985
price_prior,sigma,NA,sweater,0.8276470901733446,0.00019999999999999985
price_prior,mu,NA,coffee maker,4.632228279053022,0.00019999999999999985
price_prior,sigma,NA,coffee maker,0.7546427036910235,0.00019999999999999985
price_prior,mu,NA,watch,6.295672652921461,0.00019999999999999985
price_prior,sigma,NA,watch,1.2061094986845597,0.00019999999999999985
price_prior,mu,NA,headphones,4.6679404193795,0.00019999999999999985
price_prior,sigma,NA,headphones,0.8921255705446731,0.00019999999999999985
global_param,sigbin,NA,NA,0.012373389607694386,0.0009999999999999996
price_prior,mu,NA,laptop,6.918295456596311,0.0009999999999999996
price_prior,sigma,NA,laptop,0.6253274344239788,0.0009999999999999996
price_prior,mu,NA,sweater,4.219213752184187,0.0009999999999999996
price_prior,sigma,NA,sweater,0.8276470901733446,0.0009999999999999996
price_prior,mu,NA,coffee maker,4.632228279053022,0.0009999999999999996
price_prior,sigma,NA,coffee maker,0.7546427036910235,0.0009999999999999996
price_prior,mu,NA,watch,6.295672652921461,0.0009999999999999996
price_prior,sigma,NA,watch,1.2163622083851953,0.0009999999999999996
price_prior,mu,NA,headphones,4.6679404193795,0.0009999999999999996
price_prior,sigma,NA,headphones,0.8921255705446731,0.0009999999999999996
global_param,sigbin,NA,NA,0.012373389607694386,0.0004
price_prior,mu,NA,laptop,6.8849073086028945,0.0004
