prior_version,object,price,theta,probability,utterance_cost,alpha
exp1,coffee maker,36,32,0.0009314769771329091,1,1
exp1,coffee maker,36,28,0.000910188926802635,1,1
exp1,coffee maker,36,24,0.0008895180454862019,1,1
exp1,coffee maker,36,20,0.0008699649100775655,1,1
exp1,coffee maker,36,16,0.0008533248265764356,1,1
exp1,coffee maker,36,12,0.0008425880181355352,1,1
exp1,coffee maker,36,8,0.00083458847729808,1,1
exp1,coffee maker,36,4,0.0008295151176033879,1,1
exp1,coffee maker,36,0,0.0008260710651161065,1,1
exp1,coffee maker,44,40,0.0009671662361542839,1,1
exp1,coffee maker,44,36,0.0009434076144876473,1,1
exp1,coffee maker,44,32,0.0009201206620509149,1,1
exp1,coffee maker,44,28,0.0008990921498659379,1,1
exp1,coffee maker,44,24,0.0008786732823373005,1,1
exp1,coffee maker,44,20,0.000859358533461013,1,1
exp1,coffee maker,44,16,0.0008429213213521649,1,1
exp1,coffee maker,44,12,0.0008323154131724875,1,1
exp1,coffee maker,44,8,0.0008244134005708252,1,1
exp1,coffee maker,44,4,0.0008194018939037794,1,1
exp1,coffee maker,44,0,0.0008159998303718503,1,1
exp1,coffee maker,40,36,0.0009269983501747673,1,1
exp1,coffee maker,40,32,0.0009041164419116341,1,1
exp1,coffee maker,40,28,0.0008834536914708393,1,1
exp1,coffee maker,40,24,0.0008633899817648671,1,1
exp1,coffee maker,40,20,0.0008444111861017831,1,1
exp1,coffee maker,40,16,0.000828259876453249,1,1
exp1,coffee maker,40,12,0.0008178384433063419,1,1
exp1,coffee maker,40,8,0.0008100738752317251,1,1
exp1,coffee maker,40,4,0.0008051495367581952,1,1
exp1,coffee maker,40,0,0.0008018066473932418,1,1
exp1,coffee maker,28,24,0.0008570107942607549,1,1
exp1,coffee maker,28,20,0.0008381722241025923,1,1
exp1,coffee maker,28,16,0.0008221402489782721,1,1
exp1,coffee maker,28,12,0.000811795814959812,1,1
exp1,coffee maker,28,8,0.0008040886156718183,1,1
exp1,coffee maker,28,4,0.0007992006608477629,1,1
exp1,coffee maker,28,0,0.0007958824705394526,1,1
exp1,coffee maker,24,20,0.0008295078324078928,1,1
exp1,coffee maker,24,16,0.0008136415837394517,1,1
exp1,coffee maker,24,12,0.0008034040826705913,1,1
exp1,coffee maker,24,8,0.0007957765545904712,1,1
exp1,coffee maker,24,4,0.0007909391277533422,1,1
exp1,coffee maker,24,0,0.0007876552383914507,1,1
exp1,coffee maker,32,28,0.0008624275260466153,1,1
exp1,coffee maker,32,24,0.0008428413318950791,1,1
exp1,coffee maker,32,20,0.0008243142308720392,1,1
exp1,coffee maker,32,16,0.0008085473218002037,1,1
exp1,coffee maker,32,12,0.0007983739183796082,1,1
exp1,coffee maker,32,8,0.0007907941467401194,1,1
exp1,coffee maker,32,4,0.0007859870073414804,1,1
exp1,coffee maker,32,0,0.000782723678620691,1,1
exp1,coffee maker,48,44,0.0009499767526326678,1,1
exp1,coffee maker,48,40,0.0009256292030888694,1,1
exp1,coffee maker,48,36,0.0009028909465020557,1,1
exp1,coffee maker,48,32,0.0008806041022961518,1,1
exp1,coffee maker,48,28,0.0008604787047705708,1,1
exp1,coffee maker,48,24,0.0008409367694010501,1,1
exp1,coffee maker,48,20,0.0008224515339349023,1,1
exp1,coffee maker,48,16,0.0008067202532340646,1,1
exp1,coffee maker,48,12,0.000796569838579988,1,1
exp1,coffee maker,48,8,0.0007890071948959419,1,1
exp1,coffee maker,48,4,0.000784210918155618,1,1
exp1,coffee maker,48,0,0.0007809549635552616,1,1
exp1,coffee maker,60,56,0.001023072344251196,1,1
exp1,coffee maker,60,52,0.0009977720490852678,1,1
exp1,coffee maker,60,48,0.0009729875395693084,1,1
exp1,coffee maker,60,44,0.0009484934438910315,1,1
exp1,coffee maker,60,40,0.0009241839109965606,1,1
exp1,coffee maker,60,36,0.0009014811582835749,1,1
exp1,coffee maker,60,32,0.0008792291131090605,1,1
exp1,coffee maker,60,28,0.0008591351396978022,1,1
exp1,coffee maker,60,24,0.0008396237174155577,1,1
exp1,coffee maker,60,20,0.0008211673450887244,1,1
exp1,coffee maker,60,16,0.0008054606274586314,1,1
exp1,coffee maker,60,12,0.0007953260618226975,1,1
exp1,coffee maker,60,8,0.0007877752265702319,1,1
exp1,coffee maker,60,4,0.0007829864388123464,1,1
exp1,coffee maker,60,0,0.0007797355681110501,1,1
exp1,coffee maker,64,60,0.0010412419854021208,1,1
exp1,coffee maker,64,56,0.001013012746422319,1,1
exp1,coffee maker,64,52,0.0009879612223191111,1,1
exp1,coffee maker,64,48,0.0009634204122829777,1,1
exp1,coffee maker,64,44,0.0009391671605226196,1,1
exp1,coffee maker,64,40,0.0009150966567893825,1,1
exp1,coffee maker,64,36,0.0008926171341961282,1,1
exp1,coffee maker,64,32,0.0008705838874541816,1,1
exp1,coffee maker,64,28,0.0008506874927307231,1,1
exp1,coffee maker,64,24,0.0008313679210662088,1,1
exp1,coffee maker,64,20,0.0008130930253319477,1,1
exp1,coffee maker,64,16,0.0007975407476722618,1,1
exp1,coffee maker,64,12,0.0007875058325205196,1,1
exp1,coffee maker,64,8,0.0007800292426196547,1,1
exp1,coffee maker,64,4,0.0007752875417361252,1,1
exp1,coffee maker,64,0,0.0007720686359804496,1,1
exp1,coffee maker,72,68,0.0011006963963110599,1,1
exp1,coffee maker,72,64,0.0010695356290084468,1,1
exp1,coffee maker,72,60,0.001040024346606624,1,1
exp1,coffee maker,72,56,0.0010118281191813224,1,1
exp1,coffee maker,72,52,0.0009868058905810448,1,1
exp1,coffee maker,72,48,0.0009622937788137017,1,1
exp1,coffee maker,72,44,0.0009380688890486093,1,1
exp1,coffee maker,72,40,0.0009140265336032666,1,1
exp1,coffee maker,72,36,0.0008915732987886435,1,1
exp1,coffee maker,72,32,0.0008695658179458826,1,1
exp1,coffee maker,72,28,0.0008496926902654797,1,1
exp1,coffee maker,72,24,0.0008303957111013649,1,1
exp1,coffee maker,72,20,0.0008121421862130182,1,1
exp1,coffee maker,72,16,0.0007966080955424302,1,1
exp1,coffee maker,72,12,0.0007865849153208673,1,1
exp1,coffee maker,72,8,0.0007791170686190366,1,1
exp1,coffee maker,72,4,0.0007743809127279618,1,1
exp1,coffee maker,72,0,0.0007711657711928824,1,1
exp1,coffee maker,68,64,0.0010683152915715419,1,1
exp1,coffee maker,68,60,0.0010388376814680037,1,1
exp1,coffee maker,68,56,0.0010106736258665978,1,1
exp1,coffee maker,68,52,0.000985679947565616,1,1
exp1,coffee maker,68,48,0.0009611958040555577,1,1
exp1,coffee maker,68,44,0.0009369985548281747,1,1
exp1,coffee maker,68,40,0.0009129836316493461,1,1
exp1,coffee maker,68,36,0.0008905560159186327,1,1
exp1,coffee maker,68,32,0.0008685736455556313,1,1
exp1,coffee maker,68,28,0.0008487231930634495,1,1
exp1,coffee maker,68,24,0.0008294482317035614,1,1
exp1,coffee maker,68,20,0.0008112155340407625,1,1
