"item","condition","exp","UB","LB","low","high","y","x","group"
"sweater","original","03",40,0,0.254313309977768,0.366524891264555,0.303021985781548,20,"sweater original 03"
"sweater","original","03",80,40,0.220910508970786,0.288063220677437,0.250720654845985,60,"sweater original 03"
"sweater","original","03",120,80,0.142946946386809,0.204979880705057,0.175858612609352,100,"sweater original 03"
"sweater","original","03",160,120,0.084028105372169,0.121748446215757,0.10497578985942,140,"sweater original 03"
"sweater","original","03",200,160,0.0368745619900282,0.0770816225470588,0.0574876581547223,180,"sweater original 03"
"sweater","original","03",240,200,0.0261890485486783,0.0584303829124195,0.0414037007530404,220,"sweater original 03"
"sweater","original","03",280,240,0.0136402405994777,0.0371117116111526,0.0246291438067703,260,"sweater original 03"
"sweater","original","03",320,280,0.0102423155489692,0.0316434275125218,0.0206820748640619,300,"sweater original 03"
"sweater","original","03",360,320,0.00565914949677354,0.0203476896065408,0.0122657375618596,340,"sweater original 03"
"sweater","original","03",400,400,0.00201372868355537,0.0174702127970047,0.00895464176324064,400,"sweater original 03"
"sweater","original","04",40,0,0.250403761923272,0.367480205019839,0.303021985781548,20,"sweater original 04"
"sweater","original","04",80,40,0.220514473775244,0.285431054725766,0.250720654845985,60,"sweater original 04"
"sweater","original","04",120,80,0.145466631671154,0.203137473028576,0.175858612609352,100,"sweater original 04"
"sweater","original","04",160,120,0.0873210104590083,0.122676344120646,0.10497578985942,140,"sweater original 04"
"sweater","original","04",200,160,0.0360081660865449,0.0775343492655937,0.0574876581547223,180,"sweater original 04"
"sweater","original","04",240,200,0.025257884488317,0.0569772619245471,0.0414037007530404,220,"sweater original 04"
"sweater","original","04",280,240,0.0124721185193796,0.0364937237360621,0.0246291438067703,260,"sweater original 04"
"sweater","original","04",320,280,0.00991895342961117,0.0317082228946219,0.0206820748640619,300,"sweater original 04"
"sweater","original","04",360,320,0.005702251727665,0.0204857324279825,0.0122657375618596,340,"sweater original 04"
"sweater","original","04",400,400,0.00215757969988275,0.0170244334286237,0.00895464176324064,400,"sweater original 04"
"sweater","original","05",3,0,0.000560981144256411,0.0144308933252145,0.00545377807042066,1.5,"sweater original 05"
"sweater","original","05",6,3,0.000449540331904737,0.0149309480904314,0.0055335468837346,4.5,"sweater original 05"
"sweater","original","05",9,6,0.00239381106307576,0.0218957802958429,0.0112266746446397,7.5,"sweater original 05"
"sweater","original","05",12,9,0.00728922134452304,0.0323708988050584,0.019132494459705,10.5,"sweater original 05"
"sweater","original","05",15,12,0.0128569575160368,0.0361050885717283,0.0242823779634426,13.5,"sweater original 05"
"sweater","original","05",18,15,0.0189928594099352,0.0381106968244679,0.0291024013763343,16.5,"sweater original 05"
"sweater","original","05",21,18,0.0267914034423837,0.0452159287991634,0.0363249846313495,19.5,"sweater original 05"
"sweater","original","05",24,21,0.0307154904284272,0.0483492383867063,0.0402799983709435,22.5,"sweater original 05"
"sweater","original","05",27,24,0.0367106742215962,0.0542641937458973,0.0457957196632401,25.5,"sweater original 05"
"sweater","original","05",30,27,0.0399337267657372,0.0558649637894986,0.0481081199201787,28.5,"sweater original 05"
"sweater","original","05",33,30,0.0416146814661274,0.0632391022655627,0.0517232233133166,31.5,"sweater original 05"
"sweater","original","05",36,33,0.0438449820941156,0.0633512927104044,0.0529259568098516,34.5,"sweater original 05"
"sweater","original","05",39,36,0.0434057018129703,0.0622053287367927,0.0514788543119239,37.5,"sweater original 05"
"sweater","original","05",42,39,0.0437559637284912,0.060317350383286,0.0512128446571687,40.5,"sweater original 05"
"sweater","original","05",45,42,0.0443914562314158,0.0581512206244862,0.0510039840432376,43.5,"sweater original 05"
"sweater","original","05",48,45,0.0433542949108472,0.0563028007760502,0.0501676128874749,46.5,"sweater original 05"
"sweater","original","05",51,48,0.0405018962052774,0.056072307202485,0.0483314579206549,49.5,"sweater original 05"
"sweater","original","05",54,51,0.0311208775989699,0.0472548202924029,0.0390463709785512,52.5,"sweater original 05"
"sweater","original","05",57,54,0.0298949487226454,0.0463236621133913,0.0376137722950978,55.5,"sweater original 05"
"sweater","original","05",60,57,0.0279438769954668,0.0425830602388152,0.0353318366683106,58.5,"sweater original 05"
"sweater","original","05",63,60,0.0246019735965172,0.0374335520860202,0.0299715507280605,61.5,"sweater original 05"
"sweater","original","05",66,63,0.0223093047543656,0.0336695831289575,0.0271715359812531,64.5,"sweater original 05"
"sweater","original","05",69,66,0.0194459999207466,0.0302302489805781,0.024501047139784,67.5,"sweater original 05"
"sweater","original","05",72,69,0.0149341215279505,0.0260474974574634,0.0209435316861371,70.5,"sweater original 05"
"sweater","original","05",75,72,0.0113182467249633,0.0242065630583751,0.0179819268646213,73.5,"sweater original 05"
"sweater","original","05",78,75,0.00976765742447402,0.0220314916032691,0.0162596064178548,76.5,"sweater original 05"
"sweater","original","05",81,78,0.00845529083751202,0.0184953897239648,0.0137236345171792,79.5,"sweater original 05"
"sweater","original","05",84,81,0.00740864276886425,0.0168742833372047,0.0123667996434806,82.5,"sweater original 05"
"sweater","original","05",87,84,0.0060269565608896,0.014860106421416,0.0106013753388966,85.5,"sweater original 05"
"sweater","original","05",90,87,0.00544908079418914,0.0142693588576256,0.0096695322111281,88.5,"sweater original 05"
"sweater","original","05",93,90,0.00563685426640733,0.0201661914818513,0.0125958526621347,91.5,"sweater original 05"
"sweater","original","05",96,93,0.00580231615392951,0.0219479850797861,0.0129522460234093,94.5,"sweater original 05"
"sweater","original","05",99,96,0.00312767212548769,0.0235205132521386,0.0122159417829703,97.5,"sweater original 05"
"sweater","original","05",102,99,0.00173360777730689,0.0273217679858721,0.0114240969446629,100.5,"sweater original 05"
"sweater","original","05",105,102,0.00138876890907148,0.0220471828013609,0.00955800779332793,103.5,"sweater original 05"
"sweater","original","05",108,105,0.000529604914733609,0.0159073767042286,0.00649034503695797,106.5,"sweater original 05"
"sweater","original","05",111,108,0.000894741581730814,0.0129059299343337,0.00582728986161798,109.5,"sweater original 05"
"sweater","original","05",114,111,0.00063552589768033,0.0113524691988423,0.00521401255539142,112.5,"sweater original 05"
"sweater","original","05",117,114,0.00063552589768033,0.00909132638943917,0.00422595401691478,115.5,"sweater original 05"
"sweater","original","05",120,117,0.000317762948840165,0.00452164094956026,0.00222970292464099,118.5,"sweater original 05"
"sweater","original","06",3,0,0.00132370214150145,0.012308177217897,0.00553558201273319,1.5,"sweater original 06"
"sweater","original","06",6,3,0.00146461827342149,0.0113775935207622,0.00546399289413889,4.5,"sweater original 06"
"sweater","original","06",9,6,0.0016182783362518,0.0137510344780412,0.00631233537940375,7.5,"sweater original 06"
"sweater","original","06",12,9,0.002128091756167,0.0114054299183607,0.00591806658633757,10.5,"sweater original 06"
"sweater","original","06",15,12,0.00263793654815917,0.0131514589358306,0.00692625845255039,13.5,"sweater original 06"
"sweater","original","06",18,15,0.00305864898242572,0.00945635390490317,0.00598647262565066,16.5,"sweater original 06"
"sweater","original","06",21,18,0.00439196044143186,0.0120397397026261,0.00780147669452085,19.5,"sweater original 06"
"sweater","original","06",24,21,0.00551000602365592,0.0145286270094726,0.00992447419574657,22.5,"sweater original 06"
"sweater","original","06",27,24,0.00688453390832075,0.0184040991906092,0.0121398440745741,25.5,"sweater original 06"
"sweater","original","06",30,27,0.00804702561851291,0.0243700064756678,0.0149905959585757,28.5,"sweater original 06"
"sweater","original","06",33,30,0.00813691451983016,0.0212805282979193,0.0144535180583379,31.5,"sweater original 06"
"sweater","original","06",36,33,0.0106871305328538,0.0245324212732156,0.0172773926221227,34.5,"sweater original 06"
"sweater","original","06",39,36,0.0102195241119876,0.0254428884884037,0.0173454121926067,37.5,"sweater original 06"
"sweater","original","06",42,39,0.011250498461699,0.0257818110839084,0.0183626933578691,40.5,"sweater original 06"
"sweater","original","06",45,42,0.0107703272645007,0.0273850347312825,0.0185002801382742,43.5,"sweater original 06"
"sweater","original","06",48,45,0.0110101232016223,0.0271623665350891,0.0183669963148529,46.5,"sweater original 06"
"sweater","original","06",51,48,0.0121661668338734,0.0287041070389015,0.0198304608153561,49.5,"sweater original 06"
"sweater","original","06",54,51,0.0116591754367579,0.0294173390814447,0.0192236951816635,52.5,"sweater original 06"
"sweater","original","06",57,54,0.0113741296985741,0.0218006753542465,0.0163328790582619,55.5,"sweater original 06"
"sweater","original","06",60,57,0.0118924021483039,0.02616974175804,0.0186664363707124,58.5,"sweater original 06"
"sweater","original","06",63,60,0.0143156933388447,0.0263986509370587,0.019839172056554,61.5,"sweater original 06"
"sweater","original","06",66,63,0.0129179655784709,0.0234090024153897,0.018222592192016,64.5,"sweater original 06"
"sweater","original","06",69,66,0.0121611694377187,0.020729559815336,0.0159839833531966,67.5,"sweater original 06"
"sweater","original","06",72,69,0.0127686551896449,0.0209748006189144,0.0170051716571011,70.5,"sweater original 06"
"sweater","original","06",75,72,0.0132736207890379,0.0216901638879696,0.0175086861687636,73.5,"sweater original 06"
"sweater","original","06",78,75,0.0134860040455772,0.0218807441912177,0.0177712006505599,76.5,"sweater original 06"
"sweater","original","06",81,78,0.0134605257826329,0.0214053959892478,0.0174112381153381,79.5,"sweater original 06"
"sweater","original","06",84,81,0.0121334514753474,0.0208914459559819,0.0164910134340612,82.5,"sweater original 06"
"sweater","original","06",87,84,0.0137635245466067,0.0212522894370107,0.0175599631891095,85.5,"sweater original 06"
"sweater","original","06",90,87,0.0121437648445329,0.0205568531133158,0.0164481204888288,88.5,"sweater original 06"
"sweater","original","06",93,90,0.0133286867955138,0.0218150498907814,0.0175099120864536,91.5,"sweater original 06"
