"","item","mu","sig"
"1","coffee maker","4.11906650176106","0.69645711512503"
"2","headphones","3.64386607577781","1.05797378402233"
"3","laptop","6.47897400069901","0.728200225864916"
"4","sweater","3.6076465270541","0.777751349467502"
"5","watch","4.59182613935361","1.29260840062834"
