"item","qtype","dollar_amount","N","response","bootsci_high","bootsci_low"
"coffee maker","concrete",24,30,-2.96666666666667,-2.16583333333333,-3.63333333333333
"coffee maker","concrete",52,30,-1.23333333333333,-0.566666666666667,-1.83416666666667
"coffee maker","concrete",84,30,0.5,1.1675,-0.233333333333333
"coffee maker","concrete",124,30,1.96666666666667,2.56666666666667,1.23333333333333
"coffee maker","concrete",188,30,2.3,2.8675,1.6
"coffee maker","inductive",2,30,2.63333333333333,3.33333333333333,1.79916666666667
"coffee maker","inductive",20,30,0.933333333333333,1.76666666666667,0.0666666666666667
"coffee maker","inductive",100,30,-0.966666666666667,-0.266666666666667,-1.6
"coffee maker","inductive",140,30,-1.56666666666667,-1.03333333333333,-2.13416666666667
"coffee maker","inductive",200,30,-1.83333333333333,-1.3,-2.43333333333333
"headphones","concrete",24,30,-3.43333333333333,-3.1,-3.7
"headphones","concrete",60,30,-0.7,-0.0333333333333333,-1.36666666666667
"headphones","concrete",96,30,0.933333333333333,1.63333333333333,0.199166666666667
"headphones","concrete",144,30,1.56666666666667,2.1675,0.866666666666667
"headphones","concrete",234,30,3.16666666666667,3.63333333333333,2.56666666666667
"headphones","inductive",2.58,30,2.46666666666667,3.13333333333333,1.69916666666667
"headphones","inductive",25.8,30,0.866666666666667,1.56666666666667,0.133333333333333
"headphones","inductive",129,30,-1.26666666666667,-0.599166666666667,-1.86666666666667
"headphones","inductive",180.6,30,-1.4,-0.6,-2.13416666666667
"headphones","inductive",258,30,-1.7,-0.865833333333334,-2.5
"laptop","concrete",350,30,-2.76666666666667,-1.96666666666667,-3.36666666666667
"laptop","concrete",600,30,-0.733333333333333,-0.1,-1.33333333333333
"laptop","concrete",900,30,0.8,1.43333333333333,0.165833333333333
"laptop","concrete",1250,30,2.03333333333333,2.66666666666667,1.36666666666667
"laptop","concrete",1850,30,3.3,3.63333333333333,2.9
"laptop","inductive",18.5,30,2.8,3.4,2.06666666666667
"laptop","inductive",185,30,1.03333333333333,1.56666666666667,0.433333333333333
"laptop","inductive",925,30,-1.56666666666667,-0.866666666666667,-2.3
"laptop","inductive",1295,30,-2,-1.36666666666667,-2.56666666666667
"laptop","inductive",1850,30,-2.23333333333333,-1.43333333333333,-2.93333333333333
"sweater","concrete",18,30,-3.4,-2.86583333333333,-3.80083333333333
"sweater","concrete",36,30,-2.1,-1.53333333333333,-2.63333333333333
"sweater","concrete",57,30,0,0.633333333333333,-0.666666666666667
"sweater","concrete",87,30,0.9,1.4675,0.266666666666667
"sweater","concrete",150,30,2.9,3.33333333333333,2.43333333333333
"sweater","inductive",1.71,30,3,3.6,2.3
"sweater","inductive",17.1,30,1.4,2.13416666666667,0.565833333333333
"sweater","inductive",85.5,30,-1.16666666666667,-0.533333333333333,-1.73333333333333
"sweater","inductive",119.7,30,-1.2,-0.3,-1.96666666666667
"sweater","inductive",171,30,-1.63333333333333,-0.9,-2.3
"watch","concrete",100,30,-1.1,-0.466666666666667,-1.83333333333333
"watch","concrete",250,30,0.9,1.7,0.0333333333333333
"watch","concrete",450,30,2,2.7,1.3325
"watch","concrete",900,30,2.96666666666667,3.4,2.5325
"watch","concrete",2000,30,3.5,3.76666666666667,3.16583333333333
"watch","inductive",24,30,2.33333333333333,2.96666666666667,1.6
"watch","inductive",240,30,1.1,1.7,0.433333333333333
"watch","inductive",1200,30,-0.7,0.166666666666667,-1.50083333333333
"watch","inductive",1680,30,-1.16666666666667,-0.3,-2
"watch","inductive",2400,30,-1.43333333333333,-0.5,-2.23333333333333
